comparison,diff,lwr.ci,upr.ci,pval,readout,significance
1 mg/kg-PBS,0.04874999999999985,-0.06876448598074553,0.16626448598074522,0.6719739984720124,APTT,ns
3 mg/kg-PBS,0.13624999999999998,0.018735514019254607,0.25376448598074536,0.018786281425508755,APTT,*
6 mg/kg-PBS,0.36124999999999985,0.24373551401925447,0.4787644859807452,1.527948101376353e-9,APTT,****
9 mg/kg-PBS,0.3682142857142856,0.24657523646558716,0.48985333496298405,6.406158825633668e-9,APTT,****
1 mg/kg-PBS,-34.75,-48.69140235601823,-20.808597643981766,2.880085102630048e-7,FXI Activity,****
3 mg/kg-PBS,-67.6625,-81.60390235601822,-53.721097643981764,2.220446049250313e-16,FXI Activity,****
6 mg/kg-PBS,-79.7375,-93.67890235601823,-65.79609764398177,0,FXI Activity,****
9 mg/kg-PBS,-84.45,-98.39140235601823,-70.50859764398177,0,FXI Activity,****
1 mg/kg-PBS,-21.9375,-35.57465462291189,-8.30034537708811,7.897020077853867e-4,FXI mRNA,***
3 mg/kg-PBS,-57.7875,-71.42465462291189,-44.150345377088115,6.106226635438361e-15,FXI mRNA,****
6 mg/kg-PBS,-68.7125,-82.3496546229119,-55.07534537708811,0,FXI mRNA,****
9 mg/kg-PBS,-71.175,-84.81215462291189,-57.537845377088104,0,FXI mRNA,****
