dosage,comparison,diff,lwr.ci,upr.ci,pval,significance
RBD4059-1 mg/kg,2-1,23.883333333333326,-10.225333854309966,57.99200052097662,0.28202262716582793,ns
RBD4059-1 mg/kg,8-1,1.5333333333333314,-32.57533385430996,35.64200052097662,0.9999999391362441,ns
RBD4059-1 mg/kg,15-1,-35.41666666666666,-69.52533385430995,-1.3079994790233656,0.038693013506866714,*
RBD4059-1 mg/kg,29-1,-43.65,-77.75866718764328,-9.541332812356707,0.006635705360325428,**
RBD4059-1 mg/kg,43-1,-29.75,-63.85866718764329,4.358667187643292,0.11133562997364121,ns
RBD4059-1 mg/kg,57-1,-30,-64.10866718764329,4.108667187643292,0.10655898649900819,ns
RBD4059-1 mg/kg,71-1,-21.266666666666666,-55.37533385430996,12.842000520976626,0.39976765575523143,ns
RBD4059-1 mg/kg,85-1,-15.683333333333337,-49.79200052097663,18.425333854309955,0.7147251563783148,ns
RBD4059-3 mg/kg,2-1,13.966666666666669,-13.469447039238336,41.40278037257167,0.6163621012371114,ns
RBD4059-3 mg/kg,8-1,-17.116666666666674,-44.552780372571675,10.31944703923833,0.399252564265273,ns
RBD4059-3 mg/kg,15-1,-55.11666666666667,-82.55278037257168,-27.680552960761663,1.015042172580749e-5,****
RBD4059-3 mg/kg,29-1,-67.53333333333333,-94.96944703923833,-40.09721962742833,1.3335177861950598e-7,****
RBD4059-3 mg/kg,43-1,-57.71666666666667,-85.15278037257167,-30.280552960761664,3.012315795136722e-6,****
RBD4059-3 mg/kg,57-1,-56.43333333333333,-83.86944703923834,-28.997219627428326,8.410178319206985e-6,****
RBD4059-3 mg/kg,71-1,-41.233333333333334,-68.66944703923834,-13.79721962742833,0.0011562696671783002,**
RBD4059-3 mg/kg,85-1,-31.25,-58.686113705905,-3.8138862940949956,0.018967657450497888,*
RBD4059-9 mg/kg,2-1,-0.25,-16.74280102401548,16.24280102401548,0.9999999999995045,ns
RBD4059-9 mg/kg,8-1,-31.866666666666674,-48.35946769068215,-15.373865642651193,1.6163717366346475e-5,****
RBD4059-9 mg/kg,15-1,-63.68333333333334,-80.17613435734881,-47.19053230931786,1.4432899320127035e-14,****
RBD4059-9 mg/kg,29-1,-76.5,-93.79779564509718,-59.202204354902825,0,****
RBD4059-9 mg/kg,43-1,-72.22,-89.51779564509718,-54.922204354902824,2.220446049250313e-16,****
RBD4059-9 mg/kg,57-1,-71.38,-88.67779564509718,-54.08220435490282,1.2212453270876722e-15,****
RBD4059-9 mg/kg,71-1,-63.8,-81.09779564509716,-46.50220435490282,5.240252676230739e-14,****
RBD4059-9 mg/kg,85-1,-54.3,-71.59779564509716,-37.00220435490282,7.225064990734609e-11,****
RBD4059-9 mg/kg,113-1,-41.120000000000005,-58.41779564509718,-23.82220435490283,1.773702619223272e-7,****
