,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,Enoxaparine,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 1mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 3mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg,RBD4059 9mg/kg
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.959902,0.979236,1.046749,1.014653,1.017033,0.953228,0.891014,0.971216,0.994138,1.017139,0.986717,0.854996,1.014049,1.016481,1.001407,0.973977,0.983427,0.929332,1.001265,0.97672,0.908294,1.030639,0.951072,0.808238,0.99991,0.958107,1.013426,0.963237,0.802876,0.99866,0.991481,0.975386,0.982809,0.960873,0.967,0.940062,1.058661,0.991356,0.981245,0.86858
3,0.963671,1.00202,1.07352,1.026547,0.947474,0.96382,0.860803,1.017439,0.941163,0.998942,0.956409,0.745699,1.004141,1.017766,0.956321,0.957242,0.982303,0.86283,0.986132,0.977956,1.059582,1.030801,0.86918,0.69016,0.952436,0.940673,1.016054,0.950667,0.639098,1.002555,0.969762,0.996109,0.945022,0.968777,0.934646,0.948856,1.083251,0.98248,0.946622,0.837236
4,0.93566,0.965097,1.032163,1.017027,0.88777,0.956461,0.834256,0.968981,0.958058,0.946877,0.935369,0.67506,1.022586,1.032439,0.987747,0.924093,0.98892,0.847619,0.975757,0.940428,1.030529,1.000369,0.818668,0.651602,0.930634,0.911627,0.983298,0.939797,0.526568,0.994079,0.983494,0.977282,0.962936,0.957971,0.935195,0.935778,1.050952,0.960554,0.920776,0.824377
5,0.897492,0.958445,0.951983,0.970407,0.736322,0.920003,0.819494,0.958768,0.966685,0.907991,0.918864,0.631534,1.011886,0.985615,0.959452,0.894924,0.99098,0.821344,0.967659,0.879605,1.00062,0.966821,0.788774,0.616429,0.908497,0.873847,0.956194,0.938203,0.455155,0.987878,0.95432,0.967555,0.937788,0.956263,0.94974,0.969723,1.008057,0.948642,0.905538,0.803057
6,0.862426,0.956856,0.767238,0.964843,0.451133,0.887,0.799718,0.944898,0.943879,0.85159,0.884294,0.599392,0.998403,0.945992,0.929137,0.872907,0.958551,0.791891,0.954348,0.812331,0.961204,0.900832,0.751577,0.590164,0.893635,0.84208,0.945288,0.92044,0.40125,0.965879,0.951406,0.933907,0.990085,0.913719,0.984389,1.010255,1.006504,0.925166,0.866824,0.783176
7,0.823271,0.927608,0.521289,0.957601,0.171496,0.841343,0.77872,0.930912,0.910612,0.825814,0.860776,0.568576,0.969811,0.857702,0.865763,0.852118,0.933644,0.771196,0.938911,0.740747,0.885648,0.762552,0.752482,0.572875,0.901021,0.83091,0.955294,0.917485,0.371347,0.963791,0.93801,0.88819,0.91332,0.886036,1.040693,1.051858,0.931364,0.911896,0.85042,0.76592
8,0.778117,0.908702,0.381949,0.948968,0.090882,0.781248,0.76098,0.904043,0.874867,0.77829,0.814706,0.539475,0.964002,0.772573,0.83007,0.837054,0.91629,0.750424,0.931927,0.629401,0.775135,0.510858,0.741979,0.531469,0.887076,0.797656,0.934327,0.891198,0.337313,0.952433,0.926016,0.83151,0.886512,0.858435,1.056821,1.068375,0.886003,0.898175,0.835145,0.757604
9,0.709043,0.923164,0.19465,0.902564,0.102038,0.701418,0.733211,0.888258,0.845484,0.734897,0.764251,0.509916,0.954744,0.671318,0.733999,0.817027,0.90265,0.725679,0.934458,0.487785,0.56583,0.192852,0.716933,0.499904,0.873557,0.737854,0.925058,0.881152,0.31646,0.937911,0.901158,0.687173,0.86515,0.806341,1.041178,1.031835,0.863532,0.869789,0.821926,0.737389
10,0.636798,0.88274,0.076367,0.867623,0.101863,0.607428,0.705698,0.852625,0.79432,0.68314,0.709607,0.474688,0.936201,0.568305,0.576844,0.798892,0.898187,0.714344,0.934913,0.292367,0.299983,0.067571,0.699417,0.490156,0.867469,0.679824,0.91426,0.861061,0.290196,0.938176,0.892526,0.388771,0.838001,0.761719,1.03132,1.042576,0.858764,0.843625,0.803689,0.734221
11,0.527488,0.853654,0.057108,0.847911,0.094859,0.502846,0.667876,0.811016,0.734148,0.626637,0.639003,0.445998,0.912188,0.440764,0.392301,0.789062,0.877525,0.685724,0.930004,0.123684,0.137387,0.068009,0.689334,0.47965,0.860574,0.602462,0.889675,0.83703,0.302,0.919433,0.890172,0.21954,0.807916,0.706703,1.0543,1.055946,0.864226,0.839258,0.790062,0.71559
12,0.327505,0.844551,0.056692,0.75352,0.093584,0.436674,0.607071,0.778082,0.677455,0.577747,0.562775,0.426612,0.909078,0.352052,0.2049,0.772672,0.866538,0.665378,0.927271,0.050388,0.072874,0.063184,0.663674,0.472669,0.864402,0.525859,0.879075,0.816974,0.293344,0.903245,0.883306,0.124051,0.791576,0.646417,1.048288,1.043128,0.774527,0.813935,0.774973,0.709213
13,0.146938,0.812476,0.056143,0.664358,0.081202,0.33106,0.551076,0.70586,0.622526,0.531043,0.482259,0.411524,0.907213,0.288155,0.10606,0.747312,0.859172,0.635383,0.918414,0.041767,0.021854,0.064361,0.641504,0.460179,0.825455,0.440207,0.870256,0.78775,0.298164,0.88969,0.879579,0.076752,0.750428,0.55742,1.023465,1.011034,0.702986,0.788973,0.771029,0.703106
